iter	Passed	Remaining
0	3	348
1	5	290
2	8	268
3	10	258
4	13	258
5	16	252
6	18	244
7	20	238
8	23	233
9	25	227
10	27	223
11	30	220
12	32	218
13	34	214
14	37	210
15	39	207
16	41	203
17	44	201
18	46	199
19	49	196
20	51	193
21	53	191
22	56	188
23	58	185
24	60	182
25	63	180
26	65	177
27	67	174
28	70	172
29	72	170
30	75	167
31	77	164
32	80	162
33	82	160
34	84	157
35	89	159
36	92	157
37	95	156
38	98	154
39	101	151
40	103	149
41	105	146
42	108	143
43	110	141
44	113	138
45	116	136
46	118	133
47	120	130
48	123	128
49	125	125
50	127	122
51	130	120
52	132	117
53	134	114
54	137	112
55	139	109
56	141	107
57	144	104
58	146	102
59	149	99
60	151	97
61	154	94
62	156	91
63	158	89
64	161	86
65	163	84
66	165	81
67	168	79
68	170	76
69	173	74
70	175	71
71	178	69
72	180	66
73	182	64
74	185	61
75	187	59
76	190	56
77	192	54
78	194	51
79	197	49
80	200	46
81	202	44
82	204	41
83	207	39
84	209	36
85	212	34
86	214	32
87	216	29
88	219	27
89	221	24
90	223	22
91	226	19
92	228	17
93	231	14
94	233	12
95	235	9
96	238	7
97	240	4
98	242	2
99	245	0
